File Name,File Type,Description,File size (KB),Associated Data Dictionary ,SHA-512 Hash,Notes
README.md,Markdown text file (.md),Markdown formatted file with information about the recording and recording site,,NA,,
file_list.csv,Comma Separated Variable (.CSV),"A machine and human file that gives the following information on each file in the record: File Name, File Type, Description, File Size in kilobytes, Name of Associated Data Dictionary with the file, calculated SHA-512 Hash of the file as a unique identifier to insure data integrity during transfer and compression.",,file_list_data_dict.csv,NA,File cannot include its own hash function as its inclusion would then change the hash.
CONFIG.TXT,Plain text (.TXT),A plain text file generated by the AudioMoth device. This file serves as a summary and log of the configuration settings of the device at the time of the recording. An AudioMoth does not read settings from the CONFIG.TXT file to configure itself. The configuration settings are stored persistently on the device itself. The CONFIG.TXT file is an output generated by the device based on its configuration.,,CONFIG_data_dict.csv,,
total_eclipse_data.csv,A Comma Separated Variable (.CSV),"A machine and human readable file that gives the following information about the site where the audio data recording was taken: ESID#, Latitude, Longitude, Eclipse_type, CoveragePercent, Eclipse Start UTC (1st contact)        ,Totality Start UTC (2nd contact), Totality End UTC (3rd Contact), Eclipse End UTC (4th Contact), Max Eclipse Time UTC",,eclipse_data_data_dict.csv,,
License.txt,Plain text (.TXT),A human readable file that explains the terms and conditions under which the data can be used.,,,,
AudioMoth_Operation_Manual.pdf,Portable Document Format (.pdf),A human readable document that explains the use of an AudioMoth device.  The document is current up to the time of the AudioMoth's use in the Eclipse Soundscapes project.,,,,
file_list_data_dict.csv,Comma Separated Variable (.CSV),A machine and human data dictionary file that gives information on the variables contained within the file_list_data_dict.csv file.,,NA,,
CONFIG_data_dict.csv,Comma Separated Variable (.CSV),A machine and human data dictionary file that gives information on the variables contained within the CONFIG_data_dict.csv file.,,NA,,
eclipse_data_data_dict.csv,Comma Separated Variable (.CSV),A machine and human data dictionary file that gives information on the variables contained within the eclipse_data_data_dict.csv file.,,NA,,
WAV_data_dict.csv,Comma Separated Variable (.CSV),A machine and human data dictionary file that gives information on the variables contained within a WAV_data_dict.csv file.,,NA,,